Object Path,Object Name,Item Name,Type,Parameters,Inputs,Outputs
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,update_from_bill,procedure,p_bill_id,"billed_items, products, cashier_stations, current, customer_bills, cashier_drawer_assignments, inventory_by_location, sold_products","sold, sold_products"
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,update_sales,procedure,indx,"collection, sold_products",sold_products
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,add_item_to_bill,procedure,"p_barcode, p_bill_id","billed_items, customer_bills",billed_items
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,receive_payment,function,"p_amount, p_type, p_bill_id","bill, customer_bills, inventory",NUMBER
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,get_tax_payment_due,function,"p_tax_code, p_year","querying, billed_items, customer_bills",NUMBER
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,get_quantity_sold,function,"p_product_id, p_date_start, p_location_id, p_date_end","billed_items, products, cashier_stations, customer_bills, locations, cashier_drawer_assignments",NUMBER
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,stock_check,procedure,"p_product_id, p_value_counted, p_location_id, p_in_stock",inventory_by_location,"missing_items, null, p_in_stock"
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,sunday_check,procedure,"p_month, p_available, p_staff_id, p_sundays",work_hours,"p_available, p_sundays"
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,payout,procedure,"p_staff_id, p_net_pay, p_hlt, p_end_date, p_deductions, p_begin_date, p_gross_pay, p_nat",payroll,"p_net_pay, p_hlt, p_deductions, p_gross_pay, p_nat"
files\content_assessment\DEMO_DB\PLSQL\JTA_Packages.sql,JTA_Packages.sql,get_name,function,p_staff_id,staff,VARCHAR2
files\content_assessment\DEMO_DB\PLSQL\loop.sql,loop.sql,loop.sql*,unspecified,n,None,DBMS_OUTPUT.PUT_LINE
files\content_assessment\DEMO_DB\PLSQL\nestloop.sql,nestloop.sql,nestloop.sql*,unspecified,"m, n, k",None,DBMS_OUTPUT.PUT_LINE
files\content_assessment\DEMO_DB\PLSQL\stringfunc.sql,stringfunc.sql,stringfunc.sql*,unspecified,"v_input_stringVARCHAR2, v_trimmed_stringVARCHAR2",v_input_string,None
files\content_assessment\DEMO_DB\SQR\dates.sqr,dates.sqr,dates.sqr*,unspecified,None,"GetDateDiff, Get_Month_End_Date, Init_Report, E_DT_tmp1, GetMonthDiff, Init, ConvertToComponents, wkDate1, Dob, GetWeekDiff, BuildingStringDateV2, Get, DTU, GetYearDiff, AgeYrs, Dtu, MonthDays1, Format, BackDay, Stdapi, B_DT_tmp1, wkDate2, BuildingStringDateV1, Main_Report, dtu, Convert, BackDayYear, Get_Month_Start_Date",None
